GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,81,0,3,2,BasicMCTS,54.0,26.0,43.0,MCRave,rhea,1,BasicMCTS,1,3,3,2,MCRave,2,rhea,MCRave,BasicMCTS,rhea,1
879079583,SushiGo,3,GAME_OVER,83,0,3,3,BasicMCTS,38.0,45.0,48.0,MCRave,rhea,3,BasicMCTS,3,2,2,1,MCRave,1,rhea,MCRave,BasicMCTS,rhea,2
-619666105,SushiGo,3,GAME_OVER,85,0,3,4,BasicMCTS,41.0,28.0,35.0,MCRave,rhea,1,BasicMCTS,1,3,3,2,MCRave,2,rhea,MCRave,BasicMCTS,rhea,1
503938916,SushiGo,3,GAME_OVER,81,0,3,5,BasicMCTS,51.0,50.0,44.0,MCRave,rhea,1,BasicMCTS,1,2,2,3,MCRave,3,rhea,MCRave,BasicMCTS,rhea,1
-428737539,SushiGo,3,GAME_OVER,82,0,3,6,BasicMCTS,49.0,29.0,44.0,MCRave,rhea,1,BasicMCTS,1,3,3,2,MCRave,2,rhea,MCRave,BasicMCTS,rhea,1
-1745970416,SushiGo,3,GAME_OVER,82,0,3,7,BasicMCTS,48.0,40.0,45.0,MCRave,rhea,1,BasicMCTS,1,3,3,2,MCRave,2,rhea,MCRave,BasicMCTS,rhea,1
-1436161366,SushiGo,3,GAME_OVER,81,0,3,8,BasicMCTS,39.0,39.0,30.0,MCRave,rhea,1,BasicMCTS,1,2,2,3,MCRave,3,rhea,MCRave,BasicMCTS,rhea,1
-1151041315,SushiGo,3,GAME_OVER,81,0,3,9,BasicMCTS,50.0,38.0,37.0,MCRave,rhea,1,BasicMCTS,1,2,2,3,MCRave,3,rhea,MCRave,BasicMCTS,rhea,1
697067980,SushiGo,3,GAME_OVER,82,0,3,10,BasicMCTS,54.0,37.0,29.0,MCRave,rhea,1,BasicMCTS,1,2,2,3,MCRave,3,rhea,MCRave,BasicMCTS,rhea,1
1168140970,SushiGo,3,GAME_OVER,83,0,3,11,BasicMCTS,47.0,42.0,36.0,MCRave,rhea,1,BasicMCTS,1,2,2,3,MCRave,3,rhea,MCRave,BasicMCTS,rhea,1
-1491060889,SushiGo,3,GAME_OVER,82,0,3,12,BasicMCTS,41.0,41.0,42.0,MCRave,rhea,2,BasicMCTS,2,3,3,1,MCRave,1,rhea,MCRave,BasicMCTS,rhea,2
-1819802610,SushiGo,3,GAME_OVER,84,0,3,13,BasicMCTS,43.0,42.0,43.0,MCRave,rhea,1,BasicMCTS,1,3,3,2,MCRave,2,rhea,MCRave,BasicMCTS,rhea,1
-2121274456,SushiGo,3,GAME_OVER,83,0,3,14,BasicMCTS,28.0,31.0,42.0,MCRave,rhea,3,BasicMCTS,3,2,2,1,MCRave,1,rhea,MCRave,BasicMCTS,rhea,2
259280696,SushiGo,3,GAME_OVER,83,0,3,15,BasicMCTS,65.0,31.0,45.0,MCRave,rhea,1,BasicMCTS,1,3,3,2,MCRave,2,rhea,MCRave,BasicMCTS,rhea,1
1706137030,SushiGo,3,GAME_OVER,82,0,3,16,BasicMCTS,37.0,41.0,43.0,MCRave,rhea,3,BasicMCTS,3,2,2,1,MCRave,1,rhea,MCRave,BasicMCTS,rhea,2
545138396,SushiGo,3,GAME_OVER,82,0,3,17,BasicMCTS,46.0,39.0,43.0,MCRave,rhea,1,BasicMCTS,1,3,3,2,MCRave,2,rhea,MCRave,BasicMCTS,rhea,1
346665430,SushiGo,3,GAME_OVER,83,0,3,18,BasicMCTS,31.0,24.0,48.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
879079583,SushiGo,3,GAME_OVER,84,0,3,19,BasicMCTS,34.0,39.0,51.0,rhea,MCRave,3,BasicMCTS,3,2,2,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
-619666105,SushiGo,3,GAME_OVER,82,0,3,20,BasicMCTS,29.0,32.0,47.0,rhea,MCRave,3,BasicMCTS,3,2,2,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
503938916,SushiGo,3,GAME_OVER,83,0,3,21,BasicMCTS,43.0,31.0,50.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
-428737539,SushiGo,3,GAME_OVER,82,0,3,22,BasicMCTS,38.0,25.0,47.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
-1745970416,SushiGo,3,GAME_OVER,81,0,3,23,BasicMCTS,37.0,47.0,48.0,rhea,MCRave,3,BasicMCTS,3,2,2,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
-1436161366,SushiGo,3,GAME_OVER,81,0,3,24,BasicMCTS,42.0,18.0,50.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
-1151041315,SushiGo,3,GAME_OVER,81,0,3,25,BasicMCTS,36.0,35.0,51.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
697067980,SushiGo,3,GAME_OVER,84,0,3,26,BasicMCTS,35.0,35.0,50.0,rhea,MCRave,3,BasicMCTS,3,2,2,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
1168140970,SushiGo,3,GAME_OVER,82,0,3,27,BasicMCTS,36.0,34.0,48.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
-1491060889,SushiGo,3,GAME_OVER,83,0,3,28,BasicMCTS,37.0,44.0,49.0,rhea,MCRave,3,BasicMCTS,3,2,2,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
-1819802610,SushiGo,3,GAME_OVER,85,0,3,29,BasicMCTS,49.0,31.0,54.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
-2121274456,SushiGo,3,GAME_OVER,82,0,3,30,BasicMCTS,38.0,37.0,48.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
259280696,SushiGo,3,GAME_OVER,83,0,3,31,BasicMCTS,52.0,43.0,35.0,rhea,MCRave,1,BasicMCTS,1,2,2,3,rhea,3,MCRave,rhea,BasicMCTS,MCRave,1
1706137030,SushiGo,3,GAME_OVER,82,0,3,32,BasicMCTS,47.0,31.0,50.0,rhea,MCRave,2,BasicMCTS,2,3,3,1,rhea,1,MCRave,rhea,BasicMCTS,MCRave,2
545138396,SushiGo,3,GAME_OVER,82,0,3,33,BasicMCTS,42.0,34.0,31.0,rhea,MCRave,1,BasicMCTS,1,2,2,3,rhea,3,MCRave,rhea,BasicMCTS,MCRave,1
346665430,SushiGo,3,GAME_OVER,83,0,3,34,MCRave,33.0,40.0,41.0,BasicMCTS,rhea,3,MCRave,3,2,2,1,BasicMCTS,1,rhea,BasicMCTS,MCRave,rhea,2
